[['', 'A', 'AB', 'ABC'], 'CD']     could not be checked
[['', 'A', 'B', 'BC'], 'AD']     could not be checked
[['', '', 'AB', 'AC'], 'ABC']     could not be checked
[['', 'A', 'AB', 'AC'], 'AC']     could not be checked
[['', 'A', 'AB', 'AC'], 'BCD']     could not be checked
[['', 'A', 'B', 'B'], 'BC']     could not be checked
[['', 'A', 'B', 'B'], 'ABCD']     could not be checked
[['', 'A', 'AB', 'C'], '']     could not be checked
[['', 'A', 'AB', 'C'], 'AD']     could not be checked
[['', 'A', 'AB', 'A'], 'ABD']     could not be checked
[['', 'A', 'B', ''], 'D']     could not be checked
[['', 'A', 'AB', 'B'], 'B']     could not be checked
[['', 'A', 'A', 'A'], '']     could not be checked
[['', 'A', 'AB', ''], 'BC']     could not be checked
[['', 'A', 'A', 'ABC'], 'ABCD']     could not be checked
[['', 'A', 'AB', ''], 'ABCD']     could not be checked
[['', '', 'B', 'A'], 'AC']     could not be checked
[['', 'A', 'B', 'ABC'], '']     could not be checked
[['', 'A', 'B', 'ABC'], 'AD']     could not be checked
[['', 'A', 'A', 'BC'], 'BC']     could not be checked
[['', 'A', 'A', 'BC'], 'ABCD']     could not be checked
[['', 'A', 'AB', 'ABC'], 'ABC']     could not be checked
[['', 'A', 'B', 'BC'], 'C']     could not be checked
[['', '', 'AB', 'AC'], 'B']     could not be checked
[['', 'A', 'B', 'BC'], 'ACD']     could not be checked
[['', '', 'AB', 'AC'], 'ABD']     could not be checked
[['', 'A', 'AB', 'AC'], '']     could not be checked
[['', 'A', 'AB', 'AC'], 'AD']     could not be checked
[['', 'A', 'B', 'B'], 'A']     could not be checked
[['', 'A', 'A', ''], 'BCD']     could not be checked
[['', 'A', 'AB', 'C'], 'C']     could not be checked
[['', 'A', 'AB', 'A'], 'BC']     could not be checked
[['', 'A', 'B', ''], 'AB']     could not be checked
[['', 'A', 'AB', 'C'], 'ACD']     could not be checked
[['', 'A', 'AB', 'A'], 'ABCD']     could not be checked
[['', 'A', 'B', ''], 'CD']     could not be checked
[['', 'A', '', 'ABC'], 'CD']     could not be checked
[['', 'A', 'A', 'ABC'], 'A']     could not be checked
[['', 'A', 'AB', ''], 'A']     could not be checked
[['', 'A', 'A', 'ABC'], 'BD']     could not be checked
[['', 'A', 'AB', ''], 'BD']     could not be checked
[['', '', 'B', 'A'], '']     could not be checked
[['', 'A', 'B', 'ABC'], 'C']     could not be checked
[['', 'A', 'A', 'BC'], 'A']     could not be checked
[['', 'A', 'B', 'ABC'], 'ACD']     could not be checked
[['', 'A', 'A', 'BC'], 'BD']     could not be checked
[['', '', '', 'ABC'], '']     could not be checked
[['', 'A', 'AB', 'ABC'], 'B']     could not be checked
[['', '', '', 'ABC'], 'AD']     could not be checked
[['', 'A', 'AB', 'ABC'], 'ABD']     could not be checked
[['', 'A', 'B', 'BC'], 'D']     could not be checked
[['', '', 'AB', 'AC'], 'BC']     could not be checked
[['', '', 'AB', 'AC'], 'ABCD']     could not be checked
[['', 'A', 'AB', 'AC'], 'C']     could not be checked
[['', 'A', 'AB', 'AC'], 'ACD']     could not be checked
